id,status,latency,delay,error
1,200,2.117502212524414,0.2171198494136479,
2,200,1.1270582675933838,0.13814765052879152,
3,200,0.8595118522644043,0.01559556963334291,
4,200,3.9744057655334473,0.07366660846836562,
5,200,0.7964532375335693,0.048977751439396616,
6,200,1.255051612854004,0.208981482618706,
7,200,1.1268093585968018,0.13684797753369712,
8,200,3.134310007095337,0.017343867447408873,
9,200,0.8741893768310547,0.11290141758702946,
10,200,1.0919737815856934,0.18240309221356976,
11,200,2.9876694679260254,0.2414449209087523,
12,200,1.1284804344177246,0.13766686156744376,
13,200,0.864973783493042,0.008881223984468944,
14,200,0.7796001434326172,0.03678282376276018,
15,200,3.5039219856262207,0.03989400685827524,
16,200,0.847773551940918,0.10876971366503904,
17,200,1.7260546684265137,0.21256718855402806,
18,200,1.1462795734405518,0.13022335183029937,
19,200,0.790952205657959,0.17481261690604913,
20,200,0.8263576030731201,0.14809923489304144,
21,200,9.095748662948608,0.18580189548380519,
22,200,1.3377294540405273,0.06308423904786792,
23,200,1.3920204639434814,0.007223631348092396,
24,200,11.41441535949707,0.2082820074635351,
25,200,4.125716924667358,0.06756259750792534,
26,200,1.3750793933868408,0.03215720635760594,
27,200,4.518739938735962,0.009457527353646578,
28,200,11.231949090957642,0.19173305058372217,
29,200,1.3993098735809326,0.0004272900959638726,
30,200,13.78743863105774,0.22709582476563828,
31,200,12.221251964569092,0.2070558959578715,
32,200,9.305565595626831,0.17876720972727897,
33,200,13.110235691070557,0.2160115118156036,
34,200,5.038583040237427,0.06824873629865139,
35,200,1.3431999683380127,0.055606953435516526,
36,200,6.949845314025879,0.1395238618430185,
37,200,6.365633487701416,0.12752150788894165,
38,200,5.47780966758728,0.036773412549222395,
39,200,7.120323896408081,0.1717135836883248,
40,200,1.2070810794830322,0.18858665588643458,
41,200,7.691452503204346,0.23237884335089493,
42,200,4.58971381187439,0.011925104750196841,
43,200,7.354480266571045,0.21165887138830836,
44,200,4.5913238525390625,0.010155821989053904,
45,200,5.362245082855225,0.04537681813121133,
46,200,7.189993619918823,0.08701151323524692,
47,200,7.465125322341919,0.24156551702260054,
48,200,7.586447238922119,0.14310411918597835,
49,200,5.108657598495483,0.16690808817864564,
50,200,7.7431206703186035,0.1541032697550033,
51,200,7.797976970672607,0.23804570545601178,
52,200,7.239301681518555,0.16974475134249303,
53,200,7.149863958358765,0.1698865392003882,
54,200,6.992539644241333,0.08164199408189945,
55,200,7.360704660415649,0.23447796148860742,
56,200,7.305347204208374,0.19517372779805203,
57,200,6.1125853061676025,0.06294364057995747,
58,200,6.137290954589844,0.07219760787514393,
59,200,4.591200351715088,0.011542918777214417,
60,200,4.5928075313568115,0.007822206583574437,
